age,country,visa_type,employment_status,financial_support,travel_history,purpose,duration,sponsorship,risk_score,risk_flag
23,Kenya,Tourist,Employed,3690,3,Leisure,9,No,3.0,0
57,USA,Tourist,Employed,9579,4,Family Visit,12,No,1.0,0
60,USA,Tourist,Unemployed,1472,4,Leisure,16,No,4.5,1
23,Kenya,Work,Employed,2455,3,Employment,193,Yes,2.5,0
18,India,Business,Student,7265,0,Business Meeting,17,Yes,2.5,0
23,Nigeria,Business,Employed,6798,2,Business Meeting,39,No,4.0,1
30,Pakistan,Business,Unemployed,1091,3,Business Meeting,39,Yes,6.5,1
55,Germany,Tourist,Employed,9893,5,Leisure,18,Yes,0.0,0
34,Kenya,Work,Student,5538,3,Employment,199,Yes,2.5,0
30,Egypt,Tourist,Student,2000,0,Leisure,13,Yes,2.5,0
32,USA,Work,Employed,3313,6,Employment,201,Yes,0.5,0
36,Egypt,Business,Employed,3070,2,Business Meeting,44,Yes,2.0,0
34,UK,Student,Student,5753,3,Education,41,No,1.0,0
36,Germany,Work,Employed,6597,4,Employment,95,Yes,0.5,0
49,India,Student,Self-Employed,3118,0,Education,3,Yes,2.5,0
23,UK,Business,Employed,4577,3,Business Meeting,55,No,1.0,0
38,India,Student,Unemployed,1878,1,Education,41,No,5.0,1
54,India,Student,Student,6823,2,Education,32,No,3.0,0
48,USA,Student,Employed,6489,2,Education,7,No,1.0,0
52,USA,Work,Employed,7767,4,Employment,213,Yes,0.5,0
20,Ghana,Student,Employed,2955,3,Education,21,No,3.0,0
43,USA,Business,Student,6844,3,Business Meeting,27,No,1.0,0
27,Ghana,Business,Employed,2000,2,Business Meeting,13,Yes,2.0,0
38,Ghana,Business,Self-Employed,4867,3,Business Meeting,14,No,3.0,0
41,UK,Tourist,Employed,3819,3,Leisure,9,Yes,0.0,0
31,Ghana,Tourist,Employed,8823,5,Family Visit,15,Yes,2.0,0
30,USA,Tourist,Employed,9969,4,Leisure,19,No,1.0,0
35,South Africa,Work,Employed,2000,0,Employment,229,Yes,2.0,0
49,Egypt,Business,Employed,8718,3,Business Meeting,42,No,3.0,0
60,Pakistan,Tourist,Employed,6119,1,Leisure,11,Yes,3.0,0
48,USA,Student,Employed,6058,2,Education,38,No,1.0,0
31,Pakistan,Business,Employed,8946,3,Business Meeting,23,No,4.0,1
39,Ghana,Student,Unemployed,978,2,Education,27,No,6.5,1
56,India,Work,Employed,6371,3,Employment,142,Yes,2.5,0
41,USA,Work,Employed,4624,3,Employment,156,Yes,0.5,0
22,Pakistan,Tourist,Employed,7932,2,Family Visit,30,Yes,3.0,0
32,USA,Student,Unemployed,1048,1,Education,26,No,4.5,1
35,Pakistan,Student,Employed,3503,2,Education,13,No,4.0,1
26,Kenya,Student,Student,2000,1,Education,11,No,3.0,0
55,Kenya,Work,Student,6316,4,Employment,214,Yes,2.5,0
49,Kenya,Business,Student,3841,3,Business Meeting,20,No,3.0,0
42,India,Work,Unemployed,1482,3,Employment,223,Yes,6.0,1
51,India,Business,Employed,3405,2,Business Meeting,49,No,3.0,0
22,Germany,Business,Employed,6545,2,Business Meeting,57,Yes,0.0,0
27,Germany,Student,Student,12353,0,Education,11,Yes,0.5,0
32,Kenya,Tourist,Employed,8641,3,Family Visit,18,No,3.0,0
38,Germany,Business,Self-Employed,9104,2,Business Meeting,47,No,1.0,0
30,South Africa,Work,Self-Employed,7437,0,Employment,128,Yes,2.0,0
56,Egypt,Tourist,Employed,9345,1,Leisure,11,No,3.0,0
51,Kenya,Student,Employed,3554,1,Education,42,No,3.0,0
37,Nigeria,Student,Employed,5002,2,Education,35,Yes,3.0,0
59,Nigeria,Business,Employed,2155,3,Business Meeting,28,No,4.0,1
46,Ghana,Business,Employed,3515,2,Business Meeting,8,No,3.0,0
24,USA,Student,Employed,3604,3,Education,2,Yes,0.0,0
47,Egypt,Student,Employed,2000,5,Education,12,Yes,2.0,0
25,Nigeria,Tourist,Student,4929,0,Family Visit,7,No,4.5,1
42,USA,Tourist,Unemployed,925,1,Family Visit,7,No,4.5,1
57,USA,Tourist,Unemployed,1324,2,Family Visit,11,No,4.5,1
20,Egypt,Tourist,Student,2000,1,Leisure,11,No,3.0,0
26,India,Work,Employed,2471,0,Employment,143,Yes,3.0,0
33,Ghana,Tourist,Student,5522,4,Family Visit,21,No,3.0,0
39,UK,Tourist,Employed,6583,1,Leisure,16,No,1.0,0
27,UK,Tourist,Student,7603,1,Family Visit,17,Yes,0.0,0
32,Germany,Work,Employed,3205,4,Employment,301,Yes,0.5,0
19,South Africa,Tourist,Unemployed,551,1,Leisure,10,No,5.5,1
32,Nigeria,Work,Self-Employed,2000,2,Employment,271,Yes,3.5,0
50,Ghana,Student,Employed,10720,4,Education,25,No,3.0,0
19,UK,Student,Employed,3306,1,Education,29,No,1.0,0
53,UK,Tourist,Employed,5540,4,Leisure,16,Yes,0.0,0
49,Egypt,Tourist,Employed,8344,6,Leisure,19,No,3.0,0
50,USA,Work,Employed,3022,5,Employment,147,Yes,0.5,0
52,Ghana,Tourist,Self-Employed,6020,4,Family Visit,9,Yes,2.0,0
50,USA,Business,Employed,5271,1,Business Meeting,33,Yes,0.0,0
34,Egypt,Student,Employed,2000,4,Education,7,No,3.0,0
25,UK,Student,Employed,7353,4,Education,12,No,1.0,0
43,South Africa,Work,Employed,12502,3,Employment,246,Yes,1.5,0
42,Nigeria,Tourist,Student,2000,0,Leisure,15,Yes,3.5,0
37,Egypt,Work,Student,2000,1,Employment,229,Yes,2.5,0
41,Germany,Business,Employed,9812,5,Business Meeting,34,No,1.0,0
34,Egypt,Work,Employed,2000,2,Employment,208,Yes,2.5,0
18,Germany,Work,Student,5361,2,Employment,130,Yes,0.5,0
31,USA,Business,Self-Employed,9159,3,Business Meeting,22,No,1.0,0
47,USA,Business,Unemployed,1218,2,Business Meeting,29,Yes,3.5,0
48,Pakistan,Student,Student,5822,4,Education,25,No,4.0,1
22,Kenya,Tourist,Student,4201,2,Leisure,17,No,3.0,0
35,Nigeria,Tourist,Employed,7174,4,Family Visit,7,No,4.0,1
24,Ghana,Tourist,Employed,2204,2,Leisure,27,No,3.0,0
22,USA,Student,Employed,8026,1,Education,27,Yes,0.0,0
25,Nigeria,Student,Employed,4987,1,Education,38,No,4.0,1
25,Kenya,Tourist,Student,9946,1,Family Visit,29,Yes,2.0,0
23,India,Work,Employed,9165,2,Employment,138,Yes,2.5,0
53,Egypt,Student,Employed,5399,2,Education,59,No,3.0,0
22,Pakistan,Work,Employed,10737,0,Employment,210,Yes,4.0,1
42,UK,Tourist,Employed,4703,6,Family Visit,31,No,1.0,0
29,UK,Tourist,Employed,3713,2,Leisure,7,No,1.0,0
36,Germany,Business,Employed,10037,2,Business Meeting,39,Yes,0.0,0
30,Germany,Work,Unemployed,2226,0,Employment,242,Yes,3.0,0
59,Nigeria,Tourist,Student,8241,5,Family Visit,7,No,4.0,1
32,Pakistan,Tourist,Employed,8744,5,Leisure,14,No,4.0,1
48,Pakistan,Work,Employed,4330,3,Employment,211,Yes,3.5,0
53,USA,Work,Employed,9170,4,Employment,266,Yes,0.5,0
44,USA,Work,Employed,10201,2,Employment,187,Yes,0.5,0
47,USA,Student,Student,7141,5,Education,53,Yes,0.0,0
52,Pakistan,Business,Employed,8116,3,Business Meeting,33,No,4.0,1
34,Egypt,Work,Employed,5991,6,Employment,132,Yes,2.5,0
59,USA,Business,Employed,3004,1,Business Meeting,48,No,1.0,0
20,Ghana,Student,Employed,6279,7,Education,43,No,3.0,0
56,Ghana,Student,Employed,6618,4,Education,22,No,3.0,0
54,Ghana,Work,Self-Employed,4579,2,Employment,169,Yes,2.5,0
43,Kenya,Tourist,Student,2000,0,Leisure,14,No,3.5,0
20,South Africa,Tourist,Employed,3512,1,Family Visit,14,No,2.0,0
32,Ghana,Student,Employed,6364,1,Education,15,No,3.0,0
53,USA,Business,Employed,9552,3,Business Meeting,33,No,1.0,0
54,Kenya,Student,Student,7642,4,Education,40,No,3.0,0
32,India,Business,Employed,8456,0,Business Meeting,26,No,3.5,0
18,Kenya,Tourist,Employed,6471,3,Leisure,14,No,3.0,0
33,Germany,Business,Employed,4368,2,Business Meeting,42,Yes,0.0,0
30,India,Tourist,Employed,2000,3,Family Visit,7,Yes,2.0,0
22,Ghana,Tourist,Employed,9687,1,Leisure,22,No,3.0,0
60,USA,Business,Employed,6209,2,Business Meeting,47,No,1.0,0
42,USA,Student,Employed,3767,5,Education,17,No,1.0,0
48,Egypt,Tourist,Unemployed,1027,1,Leisure,17,No,6.5,1
19,USA,Student,Student,7466,0,Education,65,No,1.5,0
52,UK,Tourist,Employed,7588,1,Family Visit,19,No,1.0,0
19,Pakistan,Business,Employed,7721,2,Business Meeting,27,No,4.0,1
48,India,Student,Employed,2000,3,Education,19,Yes,2.0,0
47,India,Business,Student,6395,2,Business Meeting,35,Yes,2.0,0
20,Pakistan,Student,Employed,2000,4,Education,19,No,4.0,1
31,Pakistan,Business,Employed,8727,3,Business Meeting,44,No,4.0,1
19,Egypt,Business,Employed,2000,1,Business Meeting,44,Yes,2.0,0
54,Germany,Business,Student,5475,1,Business Meeting,11,No,1.0,0
34,Nigeria,Tourist,Unemployed,1021,1,Family Visit,21,Yes,6.5,1
36,Pakistan,Work,Employed,4956,1,Employment,44,Yes,3.0,0
39,Egypt,Business,Employed,5325,4,Business Meeting,20,Yes,2.0,0
30,India,Business,Employed,2265,3,Business Meeting,28,Yes,2.0,0
42,Ghana,Tourist,Employed,8318,4,Leisure,20,No,3.0,0
49,Egypt,Work,Student,5451,4,Employment,280,Yes,2.5,0
24,India,Work,Employed,2248,1,Employment,223,Yes,2.5,0
54,Egypt,Tourist,Employed,9404,4,Family Visit,18,No,3.0,0
19,UK,Student,Unemployed,500,2,Education,15,Yes,3.5,0
20,Pakistan,Student,Employed,13626,0,Education,7,No,4.5,1
22,India,Tourist,Employed,2000,3,Family Visit,7,No,3.0,0
33,South Africa,Work,Employed,7701,6,Employment,239,Yes,1.5,0
23,Ghana,Work,Unemployed,1183,2,Employment,191,Yes,6.0,1
60,Pakistan,Student,Employed,4128,3,Education,25,No,4.0,1
55,Ghana,Business,Employed,4766,5,Business Meeting,29,Yes,2.0,0
27,Kenya,Student,Employed,2000,3,Education,42,No,3.0,0
41,Nigeria,Tourist,Employed,6187,3,Leisure,16,Yes,3.0,0
55,Germany,Tourist,Employed,6430,3,Leisure,8,No,1.0,0
48,Kenya,Work,Employed,3451,1,Employment,189,Yes,2.5,0
48,Pakistan,Business,Employed,3422,3,Business Meeting,30,Yes,3.0,0
58,South Africa,Tourist,Employed,8091,1,Leisure,7,No,2.0,0
22,Ghana,Business,Employed,6781,4,Business Meeting,49,No,3.0,0
28,Egypt,Work,Unemployed,2057,0,Employment,239,Yes,5.0,1
58,UK,Student,Self-Employed,2000,1,Education,36,No,1.0,0
21,UK,Business,Employed,7048,2,Business Meeting,33,No,1.0,0
19,UK,Work,Unemployed,1074,2,Employment,232,Yes,4.0,1
43,USA,Business,Unemployed,1282,0,Business Meeting,30,No,5.0,1
48,Ghana,Business,Unemployed,1069,4,Business Meeting,30,No,6.5,1
33,Ghana,Student,Employed,5328,4,Education,28,Yes,2.0,0
19,Egypt,Business,Employed,8488,5,Business Meeting,43,Yes,2.0,0
59,Ghana,Tourist,Employed,6822,1,Family Visit,19,Yes,2.0,0
37,USA,Student,Self-Employed,7130,1,Education,2,No,1.0,0
50,Pakistan,Business,Employed,2164,3,Business Meeting,31,No,4.0,1
53,Egypt,Work,Employed,3359,4,Employment,76,Yes,2.0,0
49,India,Student,Employed,11344,9,Education,38,No,3.0,0
34,India,Student,Self-Employed,2983,4,Education,24,No,3.0,0
50,Egypt,Work,Employed,8933,4,Employment,150,Yes,2.5,0
33,USA,Work,Employed,8371,7,Employment,190,Yes,0.5,0
30,Germany,Student,Employed,2000,5,Education,19,No,1.0,0
56,Germany,Business,Unemployed,659,2,Business Meeting,20,Yes,3.5,0
26,Egypt,Student,Employed,4387,2,Education,22,No,3.0,0
53,South Africa,Student,Employed,5117,2,Education,13,No,2.0,0
29,South Africa,Tourist,Student,6964,1,Family Visit,23,No,2.0,0
56,Kenya,Student,Employed,3579,6,Education,26,No,3.0,0
41,Pakistan,Work,Employed,3886,2,Employment,192,Yes,3.5,0
54,Germany,Business,Employed,6945,1,Business Meeting,45,Yes,0.0,0
22,Egypt,Student,Employed,8411,2,Education,31,No,3.0,0
43,South Africa,Tourist,Employed,10100,1,Family Visit,16,No,2.0,0
53,Pakistan,Student,Employed,11450,5,Education,50,No,4.0,1
21,Germany,Business,Unemployed,1034,0,Business Meeting,17,No,5.0,1
48,India,Business,Employed,6098,1,Business Meeting,6,Yes,2.0,0
25,Ghana,Student,Student,7816,1,Education,37,No,3.0,0
22,Nigeria,Student,Employed,2000,3,Education,58,No,4.0,1
24,Ghana,Business,Employed,8456,2,Business Meeting,41,No,3.0,0
21,Egypt,Tourist,Employed,7326,2,Family Visit,7,Yes,2.0,0
32,Kenya,Work,Unemployed,1037,1,Employment,249,Yes,6.0,1
35,Egypt,Student,Student,7322,1,Education,-8,Yes,2.0,0
55,South Africa,Student,Student,4316,2,Education,10,Yes,1.0,0
31,UK,Tourist,Self-Employed,6066,2,Leisure,7,No,1.0,0
35,Egypt,Business,Employed,2000,6,Business Meeting,57,Yes,2.0,0
32,UK,Work,Employed,10334,2,Employment,214,Yes,0.5,0
29,Ghana,Work,Employed,7887,3,Employment,82,Yes,2.0,0
33,Nigeria,Student,Employed,5967,4,Education,56,No,4.0,1
46,UK,Work,Employed,4938,4,Employment,185,Yes,0.5,0
44,India,Business,Employed,8774,3,Business Meeting,16,No,3.0,0
57,UK,Business,Employed,3556,0,Business Meeting,20,No,1.5,0
49,Kenya,Business,Student,8722,2,Business Meeting,46,No,3.0,0
19,USA,Business,Employed,3794,2,Business Meeting,59,No,1.0,0
56,Pakistan,Work,Employed,8147,2,Employment,234,Yes,3.5,0
56,India,Business,Employed,2000,4,Business Meeting,18,No,3.0,0
38,Kenya,Student,Employed,2469,2,Education,39,Yes,2.0,0
32,Germany,Business,Unemployed,500,4,Business Meeting,43,No,4.5,1
54,Nigeria,Work,Unemployed,1473,1,Employment,229,Yes,7.0,1
46,India,Tourist,Employed,9628,4,Family Visit,9,No,3.0,0
49,Nigeria,Business,Student,4669,3,Business Meeting,50,No,4.0,1
45,India,Student,Employed,8262,3,Education,40,Yes,2.0,0
48,Germany,Work,Employed,2000,2,Employment,169,Yes,0.5,0
59,Egypt,Work,Student,2000,3,Employment,222,Yes,2.5,0
41,UK,Tourist,Student,5391,1,Leisure,13,No,1.0,0
23,Ghana,Tourist,Employed,4737,0,Family Visit,14,No,3.5,0
27,Germany,Business,Employed,2000,3,Business Meeting,22,No,1.0,0
44,Kenya,Student,Employed,7905,1,Education,34,Yes,2.0,0
57,India,Tourist,Employed,2000,3,Leisure,14,Yes,2.0,0
45,Pakistan,Work,Employed,5117,3,Employment,141,Yes,3.5,0
56,Kenya,Tourist,Employed,2881,2,Leisure,11,Yes,2.0,0
52,Ghana,Tourist,Student,12923,1,Family Visit,8,No,3.0,0
52,Ghana,Work,Employed,3937,3,Employment,245,Yes,2.5,0
38,Nigeria,Work,Student,8454,1,Employment,162,Yes,3.5,0
19,South Africa,Tourist,Employed,8719,1,Leisure,15,Yes,1.0,0
26,Ghana,Work,Student,4793,1,Employment,224,Yes,2.5,0
54,USA,Student,Employed,6333,4,Education,3,No,1.0,0
33,India,Work,Unemployed,1188,0,Employment,167,Yes,6.5,1
22,Nigeria,Business,Employed,10757,2,Business Meeting,44,Yes,3.0,0
49,South Africa,Business,Employed,3840,7,Business Meeting,27,No,2.0,0
47,South Africa,Student,Student,2000,2,Education,55,No,2.0,0
34,UK,Business,Employed,7496,5,Business Meeting,34,No,1.0,0
20,Ghana,Work,Employed,5553,4,Employment,208,Yes,2.5,0
37,USA,Tourist,Unemployed,1457,3,Family Visit,18,No,4.5,1
41,Germany,Tourist,Employed,5283,4,Leisure,7,No,1.0,0
45,Kenya,Work,Employed,6337,3,Employment,182,Yes,2.5,0
26,Egypt,Student,Employed,8022,7,Education,52,Yes,2.0,0
46,Kenya,Student,Employed,10377,0,Education,26,No,3.5,0
41,Pakistan,Work,Employed,6026,1,Employment,285,Yes,3.5,0
21,UK,Work,Self-Employed,3324,0,Employment,249,Yes,1.0,0
36,India,Student,Employed,8292,4,Education,59,No,3.0,0
59,UK,Business,Employed,7332,2,Business Meeting,21,Yes,0.0,0
53,South Africa,Business,Employed,7392,2,Business Meeting,38,No,2.0,0
22,Pakistan,Student,Employed,4829,1,Education,30,No,4.0,1
28,South Africa,Tourist,Self-Employed,2000,1,Leisure,8,No,2.0,0
35,South Africa,Tourist,Employed,9879,3,Leisure,9,No,2.0,0
19,USA,Business,Employed,7820,0,Business Meeting,31,No,1.5,0
40,Pakistan,Student,Employed,6277,6,Education,24,Yes,3.0,0
55,South Africa,Tourist,Student,7095,3,Family Visit,17,No,2.0,0
20,South Africa,Tourist,Self-Employed,4975,0,Leisure,13,No,2.5,0
39,UK,Business,Student,9965,2,Business Meeting,29,No,1.0,0
27,Ghana,Work,Employed,3295,2,Employment,257,Yes,2.5,0
35,UK,Business,Employed,9624,2,Business Meeting,33,Yes,0.0,0
26,Nigeria,Work,Employed,5942,4,Employment,232,Yes,3.5,0
44,Kenya,Work,Employed,15857,2,Employment,221,Yes,2.5,0
34,Egypt,Work,Employed,9045,2,Employment,240,Yes,2.5,0
28,India,Tourist,Employed,4273,2,Family Visit,15,No,3.0,0
47,Kenya,Work,Self-Employed,8222,0,Employment,239,Yes,3.0,0
25,Pakistan,Tourist,Unemployed,1208,0,Family Visit,14,No,8.0,1
48,USA,Student,Employed,7355,4,Education,41,No,1.0,0
58,USA,Student,Employed,6444,4,Education,20,No,1.0,0
51,Egypt,Student,Student,5195,4,Education,16,No,3.0,0
32,Kenya,Tourist,Employed,7280,3,Family Visit,9,No,3.0,0
37,South Africa,Business,Self-Employed,2125,2,Business Meeting,12,No,2.0,0
55,Nigeria,Student,Student,3170,3,Education,21,Yes,3.0,0
53,Ghana,Work,Student,6400,3,Employment,111,Yes,2.5,0
33,Kenya,Business,Self-Employed,12362,2,Business Meeting,25,No,3.0,0
50,South Africa,Student,Employed,2269,1,Education,14,No,2.0,0
39,Egypt,Student,Employed,8769,1,Education,36,Yes,2.0,0
60,Pakistan,Tourist,Student,5042,2,Leisure,7,No,4.0,1
27,UK,Business,Employed,3101,3,Business Meeting,26,Yes,0.0,0
25,USA,Student,Employed,7298,3,Education,14,No,1.0,0
43,Pakistan,Work,Employed,4447,4,Employment,264,Yes,3.5,0
36,Kenya,Work,Unemployed,1646,0,Employment,133,Yes,5.0,1
39,Ghana,Work,Employed,2000,0,Employment,285,Yes,3.0,0
42,Egypt,Tourist,Employed,3651,2,Leisure,7,No,3.0,0
27,Nigeria,Business,Employed,7587,2,Business Meeting,25,Yes,3.0,0
21,Ghana,Tourist,Employed,12450,4,Leisure,7,Yes,2.0,0
40,USA,Tourist,Employed,2000,3,Family Visit,12,No,1.0,0
55,Nigeria,Tourist,Self-Employed,8073,0,Leisure,7,No,4.5,1
28,Kenya,Business,Student,12787,1,Business Meeting,22,No,3.0,0
55,Germany,Student,Unemployed,720,2,Education,40,No,4.5,1
36,Egypt,Work,Employed,3195,2,Employment,222,Yes,2.5,0
34,Egypt,Work,Unemployed,666,0,Employment,146,Yes,6.5,1
24,South Africa,Business,Unemployed,500,0,Business Meeting,14,No,6.0,1
43,Nigeria,Student,Unemployed,950,3,Education,20,No,7.5,1
40,Pakistan,Student,Employed,5764,3,Education,33,No,4.0,1
44,UK,Work,Student,9014,4,Employment,154,Yes,0.5,0
60,Germany,Student,Employed,6024,4,Education,31,No,1.0,0
20,Ghana,Tourist,Employed,3637,1,Leisure,10,Yes,2.0,0
26,Pakistan,Work,Student,5292,1,Employment,150,Yes,3.5,0
39,Germany,Student,Employed,7630,2,Education,54,No,1.0,0
44,UK,Tourist,Self-Employed,2000,3,Family Visit,9,No,1.0,0
48,Kenya,Tourist,Employed,2000,6,Family Visit,16,Yes,2.0,0
21,India,Tourist,Student,7326,0,Family Visit,7,No,3.5,0
47,Pakistan,Business,Student,6145,1,Business Meeting,46,No,4.0,1
26,Pakistan,Student,Student,8394,0,Education,26,No,4.5,1
54,USA,Work,Employed,8291,3,Employment,177,Yes,0.5,0
34,Ghana,Business,Employed,8168,1,Business Meeting,32,No,3.0,0
27,USA,Tourist,Student,9501,0,Leisure,10,No,1.5,0
35,Pakistan,Work,Student,6279,3,Employment,220,Yes,3.5,0
20,UK,Tourist,Unemployed,937,2,Family Visit,10,No,4.5,1
39,USA,Tourist,Employed,2871,7,Leisure,15,Yes,0.0,0
60,USA,Student,Employed,9645,2,Education,58,No,1.0,0
57,Egypt,Work,Employed,2000,3,Employment,288,Yes,2.5,0
47,Nigeria,Student,Employed,8578,3,Education,25,No,4.0,1
36,Nigeria,Student,Employed,5922,5,Education,27,No,4.0,1
48,India,Business,Self-Employed,4306,2,Business Meeting,32,No,3.0,0
54,Egypt,Work,Self-Employed,2014,3,Employment,189,Yes,2.5,0
32,Egypt,Business,Employed,3504,5,Business Meeting,38,No,3.0,0
32,Nigeria,Student,Employed,8146,0,Education,24,Yes,3.5,0
20,Kenya,Work,Self-Employed,11152,2,Employment,200,Yes,2.5,0
33,Pakistan,Business,Employed,8769,5,Business Meeting,38,Yes,3.0,0
35,India,Business,Employed,7652,5,Business Meeting,26,No,3.0,0
56,Germany,Tourist,Employed,7047,3,Leisure,12,No,1.0,0
36,South Africa,Tourist,Student,2000,6,Family Visit,12,No,2.0,0
29,USA,Work,Employed,6205,2,Employment,291,Yes,0.5,0
23,UK,Student,Unemployed,1932,2,Education,25,No,3.0,0
24,Nigeria,Work,Self-Employed,5593,0,Employment,240,Yes,4.0,1
28,Germany,Student,Unemployed,1229,1,Education,43,No,4.5,1
31,UK,Work,Employed,7001,4,Employment,157,Yes,0.5,0
37,Germany,Tourist,Employed,2000,1,Leisure,7,No,1.0,0
33,Nigeria,Tourist,Student,3706,7,Family Visit,18,No,4.0,1
46,India,Student,Employed,7010,1,Education,46,No,3.0,0
47,South Africa,Tourist,Employed,2499,5,Family Visit,22,No,2.0,0
23,USA,Student,Employed,4049,0,Education,10,No,1.5,0
34,South Africa,Tourist,Self-Employed,6202,0,Leisure,17,No,2.5,0
27,Ghana,Student,Employed,7979,1,Education,0,No,3.0,0
30,South Africa,Business,Self-Employed,2799,0,Business Meeting,33,No,2.5,0
19,USA,Student,Student,10426,0,Education,8,No,1.5,0
24,UK,Business,Employed,3709,1,Business Meeting,4,Yes,0.0,0
55,Pakistan,Tourist,Self-Employed,2000,0,Leisure,14,No,4.5,1
53,Pakistan,Business,Employed,8429,7,Business Meeting,27,No,4.0,1
20,Kenya,Tourist,Employed,11289,2,Leisure,12,No,3.0,0
60,Nigeria,Student,Unemployed,500,3,Education,31,No,7.5,1
38,Nigeria,Business,Employed,5110,3,Business Meeting,41,No,4.0,1
51,Egypt,Tourist,Employed,10276,5,Family Visit,8,No,3.0,0
39,South Africa,Tourist,Unemployed,749,2,Leisure,7,No,5.5,1
33,USA,Student,Employed,9171,8,Education,19,No,1.0,0
24,Nigeria,Tourist,Self-Employed,9085,1,Leisure,7,No,4.0,1
27,UK,Student,Employed,5312,2,Education,36,No,1.0,0
51,India,Student,Employed,4160,1,Education,24,No,3.0,0
44,Germany,Tourist,Employed,10351,2,Family Visit,7,No,1.0,0
26,India,Tourist,Employed,10518,4,Leisure,16,No,3.0,0
38,USA,Tourist,Employed,5683,5,Leisure,12,No,1.0,0
32,India,Tourist,Employed,6308,3,Leisure,9,No,3.0,0
54,South Africa,Student,Self-Employed,6888,4,Education,21,No,2.0,0
43,India,Tourist,Employed,11214,3,Family Visit,13,Yes,2.0,0
35,USA,Tourist,Employed,10581,1,Leisure,17,No,1.0,0
18,Egypt,Tourist,Student,3043,0,Leisure,21,No,3.5,0
43,USA,Tourist,Employed,4666,2,Leisure,8,Yes,0.0,0
29,Ghana,Tourist,Unemployed,857,1,Leisure,10,No,6.5,1
28,Ghana,Work,Self-Employed,2969,0,Employment,189,Yes,3.0,0
51,Nigeria,Student,Employed,4716,2,Education,60,No,4.0,1
49,Kenya,Work,Employed,9139,2,Employment,134,Yes,2.5,0
57,Kenya,Business,Employed,10340,2,Business Meeting,33,No,3.0,0
26,USA,Business,Self-Employed,2999,1,Business Meeting,36,No,1.0,0
36,Egypt,Student,Employed,8062,2,Education,45,No,3.0,0
44,India,Student,Unemployed,974,2,Education,16,No,6.5,1
43,India,Work,Student,2000,3,Employment,130,Yes,2.5,0
54,Ghana,Work,Student,8209,1,Employment,259,Yes,2.5,0
25,Egypt,Work,Employed,5330,3,Employment,241,Yes,2.5,0
32,Nigeria,Work,Student,3320,2,Employment,96,Yes,3.5,0
43,India,Work,Self-Employed,3428,2,Employment,209,Yes,2.5,0
25,Germany,Tourist,Unemployed,603,0,Leisure,8,No,5.0,1
44,Nigeria,Tourist,Employed,2463,3,Family Visit,16,Yes,3.0,0
41,India,Student,Self-Employed,3077,3,Education,0,No,3.0,0
35,South Africa,Business,Unemployed,1419,4,Business Meeting,-3,No,5.5,1
31,Ghana,Business,Employed,7301,4,Business Meeting,39,No,3.0,0
49,Kenya,Business,Self-Employed,6516,1,Business Meeting,21,No,3.0,0
18,Germany,Business,Employed,3628,1,Business Meeting,25,Yes,0.0,0
47,Nigeria,Student,Employed,5508,6,Education,36,Yes,3.0,0
27,Germany,Student,Employed,11244,1,Education,44,No,1.0,0
48,Nigeria,Tourist,Employed,2000,2,Family Visit,18,No,4.0,1
46,Kenya,Work,Unemployed,1449,2,Employment,234,Yes,6.0,1
48,Germany,Business,Employed,2989,4,Business Meeting,28,No,1.0,0
26,Pakistan,Tourist,Student,6979,2,Family Visit,23,No,4.0,1
50,South Africa,Work,Employed,4671,7,Employment,238,Yes,1.5,0
51,USA,Student,Unemployed,1264,2,Education,42,Yes,3.5,0
37,South Africa,Business,Employed,10947,3,Business Meeting,42,No,2.0,0
33,India,Student,Employed,3134,2,Education,25,Yes,2.0,0
57,South Africa,Work,Unemployed,1387,0,Employment,231,Yes,5.5,1
18,South Africa,Work,Self-Employed,9963,1,Employment,83,Yes,1.0,0
53,USA,Business,Employed,2554,3,Business Meeting,26,Yes,0.0,0
29,Kenya,Tourist,Student,4055,0,Family Visit,7,Yes,2.5,0
55,Germany,Work,Unemployed,500,2,Employment,169,Yes,4.0,1
54,Egypt,Student,Employed,5362,3,Education,33,No,3.0,0
33,Kenya,Student,Employed,6741,2,Education,25,No,3.0,0
33,Pakistan,Student,Employed,6868,1,Education,49,No,4.0,1
19,South Africa,Tourist,Employed,6330,4,Leisure,7,Yes,1.0,0
31,Nigeria,Business,Employed,2000,6,Business Meeting,36,No,4.0,1
24,India,Business,Student,2000,0,Business Meeting,27,Yes,2.5,0
31,Kenya,Student,Employed,5234,3,Education,52,Yes,2.0,0
44,Egypt,Tourist,Self-Employed,8994,1,Family Visit,14,No,3.0,0
39,India,Work,Unemployed,500,4,Employment,268,Yes,6.0,1
34,India,Work,Employed,3399,6,Employment,184,Yes,2.5,0
52,Germany,Work,Unemployed,629,1,Employment,272,Yes,4.0,1
49,Nigeria,Work,Student,5374,3,Employment,148,Yes,3.5,0
24,USA,Tourist,Employed,4004,2,Leisure,9,No,1.0,0
18,Germany,Business,Unemployed,881,0,Business Meeting,7,No,5.0,1
53,Pakistan,Work,Employed,6290,2,Employment,290,Yes,3.5,0
58,India,Tourist,Unemployed,1436,3,Leisure,19,Yes,5.5,1
32,Ghana,Tourist,Student,4785,2,Leisure,27,No,3.0,0
26,Kenya,Student,Employed,2000,2,Education,61,No,3.0,0
